1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186100,203600,195800,199100,150700,145300,149113,141207,133594,132470,132960,137238,135749,144793,149735,153100,143100,142876,134726,143749,163679,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12300,16500,19700,18900,20200,28400,31975,31649,31596,34017,38777,48180,43119,40093,53387,69600,78800,73686,76918,76231,83017,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,259399,222025,?,123000,127000,118000,76000,54000
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,196000,18012000,11325000,6372000,1699405,?,?,490000,636000,639000,605000,662000
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11893,12410,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,7136,8854,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,84250,87123,?,106000,101000,117000,139000,164000
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1140428,1488449,?,1265000,1407000,1476000,1387000,1370000
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,93209,26486,?,?,?,?,?,?
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6600,4000,3000,0,2500,1500,1663,973,1672,600,400,500,1000,300,300,1700,400,136,129,65,70,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1714000,3429000,3571000,1945000,2330403,3003295,?,2506000,2779000,2839000,2843000,2633000
401603,457626,499430,560038,693508,812258,886190,721630,728462,802120,879500,1015738,1208879,1239800,1307700,1335500,1624800,1794800,1807700,1938500,1945800,2063600,2339200,2468800,2324700,2160700,2221000,2130677,2166183,2073852,2173084,2261141,2359214,2394685,2567805,2696330,2726000,2649000,2689240,2445389,2474115,2613755,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
